AVG_CRASHES,CORRIDOR,CORR_ENDMP,CORR_MP,DEPT_ID,PER_100M_VMT,SEC_LNT_MI,SEGMENT_KEY,SIGNED_ROUTE,TOTAL_CRASHES,TYC_AADT
0.4,C000441,002+0.989,000+0.112,S-441,69.8666746561538,2.665,C000441_000+0.112_002+0.989_S-441,S-441,2,588.25
0.2,C000438,031+0.330,020+0.937,S-438,70.89385774737393,10.439,C000438_020+0.937_031+0.330_S-438,S-438,1,74
0.6,C000438,020+0.937,006+0.108,S-438,102.03601074277977,14.806,C000438_006+0.108_020+0.937_S-438,S-438,3,108.75
0.8,C000438,006+0.108,000+0.000,S-438,191.61254278505933,6.094,C000438_000+0.000_006+0.108_S-438,S-438,4,187.6
0.0,C000437,008+0.909,005+0.412,S-437,0.0,3.51,C000437_005+0.412_008+0.909_S-437,S-437,0,121.33333333333333
0.4,C000437,005+0.412,000+0.000,S-437,150.88762497165692,5.385,C000437_000+0.000_005+0.412_S-437,S-437,2,134.8
0.0,C000435,009+0.781,003+0.684,S-435,0.0,6.092,C000435_003+0.684_009+0.781_S-435,S-435,0,61.8
0.2,C000435,003+0.684,000+0.000,S-435,91.09979229068804,3.679,C000435_000+0.000_003+0.684_S-435,S-435,1,163.4
1.4,C000434,018+0.131,011+0.630,S-434,421.99570410945387,6.458,C000434_011+0.630_018+0.131_S-434,S-434,7,140.66666666666666
0.0,C000434,000+0.028,000+0.000,S-434,0.0,0.028,C000434_000+0.000_000+0.028_S-434,S-434,0,354.5
0.2,C000503,008+0.022,007+0.335,S-503,103.85579835095645,0.685,C000503_007+0.335_008+0.022_S-503,S-503,1,769.8
0.2,C000432,027+0.652,014+0.994,S-432,54.467541940293934,12.529,C000432_014+0.994_027+0.652_S-432,S-432,1,80.25
0.0,C000432,014+0.994,008+0.019,S-432,0.0,6.965,C000432_008+0.019_014+0.994_S-432,S-432,0,86
3.8,C000430,009+0.088,005+0.312,S-430,106.80832118589991,3.802,C000430_005+0.312_009+0.088_S-430,S-430,19,2562.3333333333335
0.2,C000427,005+0.249,002+0.636,S-427,169.327954189487,2.603,C000427_002+0.636_005+0.249_S-427,S-427,1,124.25
0.2,C000565,000+0.480,000+0.000,S-565,243.78789439030407,0.48,C000565_000+0.000_000+0.480_S-565,S-565,1,468
0.2,C000427,002+0.636,000+0.000,S-427,168.357778745315,2.618,C000427_000+0.000_002+0.636_S-427,S-427,1,124.25
0.0,C000426,026+0.741,026+0.424,S-426,0.0,0.318,C000426_026+0.424_026+0.741_S-426,S-426,0,435
0.2,C000426,016+0.914,014+0.350,S-426,181.14989810608077,2.562,C000426_014+0.350_016+0.914_S-426,S-426,1,118
0.0,C000426,010+0.437,009+0.576,S-426,0.0,0.86,C000426_009+0.576_010+0.437_S-426,S-426,0,80.5
0.0,C000426,009+0.576,002+0.125,S-426,0.0,7.437,C000426_002+0.125_009+0.576_S-426,S-426,0,43.5
5.2,C000424,017+0.125,013+0.407,S-424,194.69111009360543,3.72,C000424_013+0.407_017+0.125_S-424,S-424,26,1966
1.0,C000424,003+0.847,002+0.994,S-424,124.54215901794888,0.857,C000424_002+0.994_003+0.847_S-424,S-424,5,2565.5
0.2,C000422,008+0.269,006+0.196,S-422,111.69381894352982,2.071,C000422_006+0.196_008+0.269_S-422,S-422,1,236.75
0.0,C000422,006+0.196,001+0.677,S-422,0.0,4.515,C000422_001+0.677_006+0.196_S-422,S-422,0,60
0.0,C000541,010+0.743,009+0.041,S-541,0.0,1.736,C000541_009+0.041_010+0.743_S-541,S-541,0,141.33333333333334
0.2,C000421,009+0.794,008+0.763,S-421,54.93129774862718,1.035,C000421_008+0.763_009+0.794_S-421,S-421,1,963.25
5.8,C000421,008+0.763,002+0.612,S-421,264.56400865292755,6.232,C000421_002+0.612_008+0.763_S-421,S-421,29,963.25
0.0,C000419,021+0.102,019+0.579,S-419,0.0,1.586,C000419_019+0.579_021+0.102_S-419,S-419,0,673.6666666666666
2.6,C000419,019+0.579,013+0.187,S-419,149.13861911106721,6.497,C000419_013+0.187_019+0.579_S-419,S-419,13,734.75
3.0,C000419,013+0.187,003+0.540,S-419,81.90217827610753,9.679,C000419_003+0.540_013+0.187_S-419,S-419,15,1036.25
1.0,C000569,022+0.072,012+0.744,S-569,141.11524577652312,9.374,C000569_012+0.744_022+0.072_S-569,S-569,5,207
2.6,C000419,003+0.540,000+0.000,S-419,149.96120551600885,3.498,C000419_000+0.000_003+0.540_S-419,S-419,13,1357.2
6.0,C000486,009+0.645,002+0.142,S-486,161.49911853942598,7.53,C000486_002+0.142_009+0.645_S-486,S-486,30,1351
0.8,C000418,016+0.134,008+0.981,S-418,41.55174895674292,7.15,C000418_008+0.981_016+0.134_S-418,S-418,4,737.3333333333334
0.6,C000418,008+0.981,003+0.233,S-418,49.242628855806025,5.745,C000418_003+0.233_008+0.981_S-418,S-418,3,580.75
0.2,C000417,016+0.547,013+0.557,S-417,163.2132294219697,2.987,C000417_013+0.557_016+0.547_S-417,S-417,1,112.33333333333333
0.0,C000417,010+0.362,003+0.804,S-417,0.0,6.558,C000417_003+0.804_010+0.362_S-417,S-417,0,58.25
5.4,C000416,013+0.367,002+0.598,S-416,183.41347554578394,10.773,C000416_002+0.598_013+0.367_S-416,S-416,27,748.3333333333334
0.0,C000509,000+0.139,000+0.000,S-509,0.0,0.139,C000509_000+0.000_000+0.139_S-509,S-509,0,87.75
0.0,C000413,024+0.387,017+0.720,S-413,0.0,7.01,C000413_017+0.720_024+0.387_S-413,S-413,0,39.25
0.2,C000409,034+0.870,026+0.464,S-409,178.49126878008826,8.406,C000409_026+0.464_034+0.870_S-409,S-409,1,36.5
0.0,C000409,021+0.219,003+0.844,S-409,0.0,16.801,C000409_003+0.844_021+0.219_S-409,S-409,0,61.2
0.0,C000405,022+0.263,014+0.483,S-405,0.0,7.973,C000405_014+0.483_022+0.263_S-405,S-405,0,42
0.4,C000405,014+0.483,002+0.000,S-405,74.13165107314578,12.333,C000405_002+0.000_014+0.483_S-405,S-405,2,119.8
0.2,C000405,002+0.000,000+0.000,S-405,545.5393440901909,1.755,C000405_000+0.000_002+0.000_S-405,S-405,1,57.2
0.2,C000401,007+0.903,005+0.020,S-401,70.46921034386025,2.889,C000401_005+0.020_007+0.903_S-401,S-401,1,269
0.4,C000400,005+0.340,000+0.000,S-400,129.1765147289142,5.316,C000400_000+0.000_005+0.340_S-400,S-400,2,159.5
0.4,C000398,007+0.016,000+0.000,S-398,119.2213644580194,7.013,C000398_000+0.000_007+0.016_S-398,S-398,2,131
0.4,C000396,011+0.729,003+0.162,S-396,631.4313273647225,8.566,C000396_003+0.162_011+0.729_S-396,S-396,2,20.25
0.2,C000396,003+0.162,001+0.020,S-396,223.201928099679,2.141,C000396_001+0.020_003+0.162_S-396,S-396,1,114.6
0.8,C000517,006+0.313,000+0.000,S-517,118.99080514533705,6.309,C000517_000+0.000_006+0.313_S-517,S-517,4,291.8
1.2,C000393,003+0.126,000+0.082,S-393,42.439079324423275,3.036,C000393_000+0.082_003+0.126_S-393,S-393,6,2550.25
0.4,C000391,016+0.568,005+0.498,S-391,291.21695149179436,11.062,C000391_005+0.498_016+0.568_S-391,S-391,2,34
0.0,C000391,005+0.498,000+0.284,S-391,0.0,5.209,C000391_000+0.284_005+0.498_S-391,S-391,0,73.5
0.0,C000391,000+0.284,000+0.000,S-391,0.0,0.284,C000391_000+0.000_000+0.284_S-391,S-391,0,140.25
0.4,C000384,057+0.178,045+0.949,S-384,92.13488100646525,11.215,C000384_045+0.949_057+0.178_S-384,S-384,2,106
0.2,C000384,045+0.949,036+0.791,S-384,106.15041665516684,9.091,C000384_036+0.791_045+0.949_S-384,S-384,1,56.75
0.4,C000384,031+0.560,025+0.754,S-384,398.45761440497597,5.787,C000384_025+0.754_031+0.560_S-384,S-384,2,47.5
