SEGMENT_KEY,CORRIDOR,CORR_MP_FLOAT,CORR_ENDMP_FLOAT,DEPT_ID,SEC_LNT_MI,SIGNED_ROUTE,TOTAL_CRASHES,AVG_CRASHES,PER_100M_VMT,TYC_AADT
C000020_052+0.436_052+0.566_N-20,C000020,52.436,52.566,N-20,0.13,MT-16,4,0.8,259.9702126780239,6481.75
C000014_168+1.002_169+0.268_N-14,C000014,169.002,169.268,N-14,0.277,MT-3/US-12,5,1.0,258.52346733654684,3823.75
C000215_009+0.055_015+0.187_S-215,C000215,9.055,15.187,S-215,6.143,S-215,5,1.0,177.58856352495891,251.0
C000057_112+0.985_119+0.646_N-57,C000057,112.985,119.646,N-57,6.641,MT-200/MT-3/US-87,19,3.8,241.327819688609,649.25
C000014_167+0.438_168+0.533_N-14,C000014,167.438,168.533,N-14,1.112,MT-3/US-12,4,0.8,52.888019229563376,3724.75
C001207_002+0.935_003+0.198_P-118,C001207,2.935,3.198,P-118,0.262,S-570,0,0.0,0.0,6201.0
C000015_397+0.620_398+0.163_I-15,C000015,397.62,398.163,I-15,0.544,I-15,1,0.2,50.4359017629357,1996.0
C000014_129+0.827_130+0.519_N-14,C000014,129.827,130.519,N-14,0.692,MT-3/US-12,2,0.4,77.30351069023679,2047.5
C000014_123+0.508_129+0.550_N-14,C000014,123.508,129.55,N-14,6.035,MT-3/US-12,16,3.2,86.73342197727578,1674.0
C000014_122+0.572_123+0.508_N-14,C000014,122.572,123.508,N-14,0.929,MT-3/US-12,1,0.2,33.835534359120395,1742.25
C000411_006+0.057_010+0.738_S-411,C000411,6.057,10.738,S-411,4.685,S-411,15,3.0,363.21067829999157,482.75
C000014_120+0.439_122+0.572_N-14,C000014,120.439,122.572,N-14,2.131,MT-3/US-12,9,1.8,132.75406043012936,1742.25
C000014_100+0.329_100+0.960_P-14,C000014,100.329,100.96,P-14,0.63,US-12,1,0.2,43.62750201815371,1992.5
C000090_367+0.395_370+0.545_I-90,C000090,367.395,370.545,I-90,3.179,I-90,52,10.4,90.00321817618526,9953.0
C000014_099+0.699_099+0.843_P-14,C000014,99.699,99.843,P-14,0.144,US-12,0,0.0,0.0,2312.0
C000014_096+0.323_099+0.042_P-14,C000014,96.323,99.042,P-14,2.724,US-12,3,0.6,89.98633325364803,670.25
C000062_000+0.141_000+0.325_N-62,C000062,0.141,0.325,N-62,0.184,MT-16,2,0.4,446.98062043109263,1331.75
C000014_088+0.025_096+0.323_P-14,C000014,88.025,96.323,P-14,8.277,US-12,7,1.4,80.82946227932558,573.0
C000014_077+0.228_088+0.025_P-14,C000014,77.228,88.025,P-14,10.806,US-12,19,3.8,195.61499359278892,492.25
C000014_076+0.020_077+0.228_P-14,C000014,76.02,77.228,P-14,1.179,US-12,1,0.2,94.362556169978,492.25
C000014_068+0.532_076+0.020_P-14,C000014,68.532,76.02,P-14,7.49,US-12,5,1.0,110.11572175719813,332.0
C000026_003+0.888_005+0.837_P-26,C000026,3.888,5.837,P-26,1.973,MT-23,5,1.0,94.07549726053097,1475.25
C000014_057+0.130_068+0.532_P-14,C000014,57.13,68.532,P-14,11.412,US-12,11,2.2,155.37125851909545,339.75
C000085_000+0.000_001+0.990_N-85,C000085,0.0,1.99,N-85,2.004,MT-85,88,17.6,123.18936635815155,19521.4
C000014_042+0.311_042+0.683_P-14,C000014,42.311,42.683,P-14,0.372,US-12,0,0.0,0.0,2441.25
C000036_045+0.767_046+0.738_P-36,C000036,45.767,46.738,P-36,0.973,MT-28,6,1.2,150.87346849295568,2238.3333333333335
C000090_352+0.537_354+0.033_I-90,C000090,352.537,354.033,I-90,1.49,I-90,32,6.4,96.5640891695492,12180.0
C000014_039+0.149_041+0.681_P-14,C000014,39.149,41.681,P-14,2.532,US-12,5,1.0,77.31529730737061,1398.75
C000053_000+0.000_000+0.053_N-53,C000053,0.0,0.053,N-53,0.053,MT-3,0,0.0,0.0,10575.75
C000014_023+0.512_033+0.315_P-14,C000014,23.512,33.315,P-14,9.76,US-12,15,3.0,88.3177034706587,953.0
C000015_393+0.841_397+0.620_I-15,C000015,393.841,397.62,I-15,3.778,I-15,23,4.6,211.24639740749765,1578.25
C000014_011+0.766_023+0.395_P-14,C000014,11.766,23.395,P-14,11.63,US-12,30,6.0,161.44801649675833,875.0
C000013_096+0.496_097+0.268_P-13,C000013,96.496,97.268,P-13,0.734,MT-87,9,1.8,169.73130445395736,3956.25
C000029_087+0.128_087+0.627_N-29,C000029,87.128,87.627,N-29,0.498,MT-41,51,10.2,390.3745760549614,14366.75
C000013_095+0.853_096+0.053_P-13,C000013,95.853,96.053,P-13,0.242,MT-87,3,0.6,279.23862888527685,2431.25
C000015_138+0.380_151+0.487_I-15,C000015,138.38,151.487,I-15,12.583,I-15,85,17.0,124.17295258391646,2979.25
C000015_098+0.998_102+0.260_I-15,C000015,98.998,102.26,I-15,3.251,I-15,24,4.8,93.03122940343516,4345.75
C000273_008+0.071_011+0.643_S-273,C000273,8.071,11.643,S-273,3.57,S-273,4,0.8,290.4653179962562,211.25
C000013_095+0.477_095+0.853_P-13,C000013,95.477,95.853,P-13,0.377,MT-87,1,0.2,72.50509565268459,2003.5
